link,price,address,numRooms,dateListed
https://www.zoopla.co.uk/for-sale/details/50771319,396000,Criffel Avenue London SW2,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771322,92500,Woodcock Court 258-266 Woodcock Hill Harrow HA3,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771325,297000,St. Marks Road Mitcham Surrey CR4,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771326,349750,Northlands Avenue Orpington Kent BR6,4,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771327,445500,Pollards Hill East London SW16,4,2019-01-12
https://www.zoopla.co.uk/for-sale/details/48613464,545000,Tate Road Sutton Surrey SM1,5,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771243,229995,Openshaw Abbey Wood SE2,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771180,275000,Sandhurst Road Edmonton N9,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771181,200000,Harston Drive Enfield EN3,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/39167536,439995,Westmoor Road Enfield EN3,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771178,424995,Sporton Court Enfield EN2,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771179,449995,Holmwood Road Enfield EN3,4,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770854,700000,Lower Addiscombe Road Croydon CR0,4,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770855,375000,Rochford Way Croydon CR0,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770853,400000,Penshurst Road Thornton Heath CR7,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/48613195,825000,Tate Road Sutton Surrey SM1,5,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770811,575000,Gondar Gardens London NW6,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770799,435000,Pinewood Avenue Sidcup DA15,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770797,425000,Ashcroft Crescent Sidcup DA15,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770180,339950,New Road Orpington BR6,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769539,475000,Mildmay Road Ilford IG1,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769540,375000,Chester Road Seven Kings IG3,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769527,950000,Seward Road Hanwell W7,5,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769482,400000,Antill Road London N15,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769453,450000,St. Marks Road Mitcham Surrey CR4,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771319,396000,Criffel Avenue London SW2,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771322,92500,Woodcock Court 258-266 Woodcock Hill Harrow HA3,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771325,297000,St. Marks Road Mitcham Surrey CR4,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771326,349750,Northlands Avenue Orpington Kent BR6,4,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771327,445500,Pollards Hill East London SW16,4,2019-01-12
https://www.zoopla.co.uk/for-sale/details/48613464,545000,Tate Road Sutton Surrey SM1,5,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771243,229995,Openshaw Abbey Wood SE2,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771180,275000,Sandhurst Road Edmonton N9,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771181,200000,Harston Drive Enfield EN3,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/39167536,439995,Westmoor Road Enfield EN3,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771178,424995,Sporton Court Enfield EN2,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50771179,449995,Holmwood Road Enfield EN3,4,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770854,700000,Lower Addiscombe Road Croydon CR0,4,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770855,375000,Rochford Way Croydon CR0,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770853,400000,Penshurst Road Thornton Heath CR7,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/48613195,825000,Tate Road Sutton Surrey SM1,5,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770811,575000,Gondar Gardens London NW6,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770799,435000,Pinewood Avenue Sidcup DA15,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770797,425000,Ashcroft Crescent Sidcup DA15,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50770180,339950,New Road Orpington BR6,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769539,475000,Mildmay Road Ilford IG1,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769540,375000,Chester Road Seven Kings IG3,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769527,950000,Seward Road Hanwell W7,5,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769482,400000,Antill Road London N15,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769453,450000,St. Marks Road Mitcham Surrey CR4,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769441,474950,Preston Hill Kenton Harrow Middlesex HA3,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769440,140000,Woodcock Court 258-266 Woodcock Hill Harrow HA3,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769438,330000,Morley Crescent West Stanmore Middlesex HA7,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769439,315000,Albany Court Kenton Road Harrow Middlesex HA3,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769437,699950,Northwick Avenue Harrow Middlesex HA3,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769419,139000,Union Wharf Bentinck Road Yiewsley UB7,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769382,1995000,Hamilton Court 149 Maida Vale London W9,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769316,750000,Lysons Walk London SW15,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769252,850000,Church Road Worcester Park Surrey KT4,4,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769253,699950,Brockenhurst Avenue Worcester Park KT4,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769247,390000,Middlesex Street London E1,0,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769245,375000,Adams Gardens Estate London SE16,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769241,285000,William Guy Gardens London E3,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769242,375000,Rainhill Way London E3,2,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769194,675000,Banner Street London EC1Y,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769055,454000,3 Baltimore Wharf London E14,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769056,425000,Duckman Tower 3 Lincoln Plaza London E14,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769044,625000,Kneller Gardens Isleworth TW7,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50769037,2200000,Duchess Of Bedford's Walk Kensington London W8,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/40170874,385000,Blackstock Road London N4,1,2019-01-12
https://www.zoopla.co.uk/new-homes/details/50768976,895000,Paddington Exchange Paddington W2,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50768943,495000,Brunswick Park Gardens London N11,3,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50768855,299950,Myrna Close Colliers Wood London SW19,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50768841,425000,Walm Lane Cricklewood NW2,1,2019-01-12
https://www.zoopla.co.uk/for-sale/details/50768809,375000,Boileau Road Barnes SW13,1,2019-01-12
